time_management,environment_structuring,goal_setting,self_evaluation,learning_engagement
3.9,3.52,2.58,4.01,3.91
3.39,3.7,3.28,2.66,3.52
4.02,4.17,3.7,4.1,3.97
4.72,4.15,3.73,4.48,4.12
3.31,1.96,3.38,3.73,3.49
3.31,2.36,4.14,4.9,3.9
4.76,3.66,2.95,2.78,3.98
4.11,3.66,3.6,2.4,3.76
3.12,3.66,3.78,1.98,3.46
3.93,5.0,4.06,4.6,4.05
3.13,3.71,4.2,3.92,4.06
3.13,4.22,2.91,3.36,3.28
3.69,4.06,2.63,3.62,4.02
1.97,3.79,4.59,2.5,2.84
2.12,2.92,3.93,5.0,3.84
3.05,3.88,3.18,3.5,3.32
2.69,2.5,4.79,3.49,3.26
3.75,2.99,3.78,3.98,3.58
2.77,2.76,4.53,3.78,3.4
2.37,3.27,3.75,3.58,3.24
4.67,5.0,5.0,2.77,4.58
3.32,1.52,4.93,3.78,3.54
3.55,3.82,3.53,4.91,3.83
2.36,1.75,4.38,4.48,3.97
3.06,2.78,4.15,4.67,4.2
3.59,4.18,4.66,2.99,3.98
2.58,3.26,3.02,2.61,2.8
3.8,2.23,4.18,3.3,3.69
3.02,2.56,4.44,3.44,3.67
3.27,3.81,2.47,4.28,2.98
3.02,2.54,2.87,2.05,2.66
4.98,3.39,2.27,4.62,3.44
3.49,3.24,3.51,3.27,3.55
2.65,2.61,4.2,3.06,3.39
4.16,5.0,4.75,2.59,3.96
2.52,3.77,3.75,2.08,3.4
3.67,1.38,4.84,4.06,3.5
1.93,3.37,2.73,3.46,2.18
2.44,2.6,2.51,2.37,2.53
3.66,3.97,3.66,2.36,3.74
4.09,2.49,3.97,3.13,4.21
3.64,3.1,3.68,4.74,3.68
3.41,3.65,2.25,3.19,3.37
3.26,3.98,3.64,2.2,3.22
2.32,2.12,2.79,3.2,2.56
2.92,2.9,4.17,3.18,3.61
3.13,2.77,3.96,1.24,3.16
4.35,2.61,3.04,3.36,3.11
3.77,4.79,3.34,3.22,4.08
2.09,3.56,2.96,3.96,3.29
3.76,2.07,3.66,4.88,3.6
3.19,4.03,4.37,4.3,3.97
2.96,5.0,3.01,3.18,3.37
3.99,4.13,4.05,2.51,3.81
4.32,1.83,3.33,5.0,3.75
4.25,2.76,3.14,3.45,3.41
2.83,4.34,3.63,3.41,3.33
3.25,2.56,2.98,3.38,3.48
3.77,3.6,3.31,3.56,3.73
4.28,3.9,2.86,3.28,3.51
3.12,2.37,5.0,2.94,3.8
3.35,3.15,3.72,2.96,2.51
2.61,1.0,3.21,3.37,3.13
2.54,2.28,3.85,2.97,2.47
4.15,2.97,3.62,2.83,3.5
4.58,2.08,3.55,3.49,3.47
3.44,4.67,4.13,3.2,3.33
4.3,1.91,4.23,4.6,4.45
3.79,2.8,3.33,1.28,2.91
2.98,3.32,3.3,4.27,3.47
3.79,4.5,3.51,4.4,3.88
4.73,1.91,2.09,1.74,3.2
3.47,4.25,2.64,3.13,3.25
4.75,3.21,4.66,3.1,3.85
1.4,2.32,4.85,2.27,3.0
4.16,3.62,3.53,2.78,3.49
3.57,3.38,4.1,2.51,3.03
3.26,2.66,3.92,4.8,3.58
3.57,3.26,5.0,4.15,4.54
1.91,2.85,4.48,4.42,3.53
3.32,3.3,3.61,3.98,3.43
3.79,3.8,3.03,2.5,3.2
4.68,4.63,2.58,2.98,3.61
3.09,2.09,3.84,3.79,3.98
2.85,5.0,3.17,2.42,3.19
3.1,1.44,2.7,3.97,3.12
4.23,3.06,3.25,3.21,3.92
3.76,3.73,2.94,3.1,3.45
3.08,3.45,4.88,3.97,3.76
3.91,2.64,4.32,3.76,3.82
3.58,3.01,3.69,3.11,3.44
4.27,2.76,4.74,4.33,4.26
2.94,2.67,3.75,2.54,3.29
3.24,3.96,3.1,3.89,3.41
3.19,3.52,4.77,3.87,4.05
2.33,2.58,4.08,3.15,3.02
3.74,4.01,2.97,3.66,3.54
3.71,3.48,3.57,2.4,2.78
3.5,3.93,3.09,4.14,3.82
3.31,3.77,2.73,3.25,3.28
2.37,2.45,4.35,2.98,3.39
3.16,2.7,5.0,4.24,3.01
3.23,3.87,2.72,2.84,3.69
2.86,3.75,4.09,2.27,3.16
3.37,3.18,3.24,2.15,3.4
3.82,3.31,3.36,3.88,3.33
5.0,4.35,3.29,2.38,4.08
3.64,2.67,3.1,4.8,3.3
3.71,3.69,3.73,1.73,3.13
3.44,3.02,3.12,4.76,4.14
1.96,3.0,3.89,3.57,2.91
3.48,4.19,3.66,3.32,3.64
3.55,3.94,3.53,2.96,3.73
5.0,3.93,3.06,3.72,4.21
3.35,4.37,3.3,3.37,3.48
3.74,3.22,4.23,4.28,4.05
3.47,3.81,4.05,3.49,4.4
2.57,2.92,3.02,3.52,2.91
4.41,3.49,3.77,3.11,3.93
4.1,3.08,4.23,3.35,4.2
4.13,3.29,2.53,3.65,3.8
2.77,3.74,4.08,2.03,3.47
4.62,2.46,3.24,2.32,3.72
2.38,5.0,4.1,3.99,3.14
3.97,2.29,3.17,3.54,3.96
5.0,2.11,2.44,3.25,3.25
2.71,4.24,2.56,3.41,3.05
3.05,3.91,3.73,3.68,3.24
3.58,3.76,3.88,2.97,3.55
3.1,3.77,3.07,2.78,3.19
2.26,3.19,4.15,3.56,3.27
3.55,2.39,2.54,2.62,3.07
2.65,3.27,3.65,3.73,3.71
3.88,2.59,2.85,2.04,3.21
2.76,4.08,3.24,4.22,3.26
4.74,3.07,3.73,3.78,4.37
2.87,2.46,3.1,3.6,3.4
3.24,2.91,3.43,4.19,3.09
4.15,3.57,4.4,4.73,4.46
2.52,2.69,3.3,4.21,3.32
3.68,2.46,4.28,1.93,3.3
4.55,3.42,2.91,2.38,3.92
2.21,3.42,4.07,2.9,2.98
3.65,2.74,4.71,3.42,3.87
3.71,2.78,1.97,3.81,3.06
4.13,3.41,3.14,2.82,3.5
2.51,1.9,4.1,3.55,2.81
2.44,1.93,3.56,2.8,2.37
3.92,2.55,3.96,2.91,4.07
3.74,3.01,3.28,2.27,2.98
3.7,3.48,3.76,2.66,3.19
3.78,4.53,3.59,2.32,2.86
2.96,3.97,4.52,2.62,3.27
3.69,3.06,3.88,4.24,3.4
3.73,3.18,3.94,2.64,4.01
2.93,2.3,3.41,5.0,3.73
4.99,3.18,3.36,3.79,3.88
3.88,2.94,3.4,3.55,4.25
2.55,3.49,3.98,2.71,3.4
4.03,2.46,3.41,3.96,3.57
2.72,3.67,3.9,2.94,2.46
4.13,4.58,5.0,3.5,5.0
4.43,3.1,4.31,5.0,3.96
2.84,3.56,3.47,3.32,2.71
4.27,3.82,4.54,4.32,4.62
3.83,2.84,3.41,2.84,4.14
4.16,3.4,2.27,3.37,3.77
5.0,3.21,2.99,4.82,4.35
3.3,3.29,2.39,2.9,3.13
2.9,2.5,3.45,4.85,3.67
2.79,3.22,3.71,3.97,3.57
2.85,3.65,4.87,2.95,3.64
3.44,4.51,3.93,3.91,3.82
3.77,4.06,3.55,4.18,3.8
3.72,5.0,4.28,3.9,3.83
4.16,2.51,2.15,2.14,2.91
3.51,3.99,3.86,2.82,3.02
4.66,3.37,4.24,3.2,4.08
3.29,5.0,2.66,3.34,2.99
5.0,2.47,4.5,3.9,4.05
4.0,2.44,3.94,3.54,3.79
2.81,2.66,3.41,2.33,3.3
2.64,1.29,4.14,3.7,3.45
3.89,2.73,5.0,3.89,3.63
3.32,2.52,3.83,3.85,3.2
4.07,3.34,3.87,4.26,4.26
3.88,3.51,3.38,4.07,3.43
3.44,4.89,3.11,3.77,3.48
2.82,4.06,4.28,3.34,3.65
2.29,2.68,3.1,2.07,2.24
3.14,2.39,3.75,3.74,3.4
4.19,3.64,3.37,3.57,3.36
3.67,2.01,4.04,3.62,3.42
2.5,4.85,3.93,2.38,3.24
3.64,4.26,4.43,2.54,3.24
3.81,2.78,3.34,4.24,3.78
2.79,1.66,3.51,3.37,3.0
3.62,4.42,3.01,3.95,3.75
3.55,3.1,3.39,3.42,3.5
2.59,4.31,3.96,3.42,3.75
